the,зи,то,определенный артикль,,,
and,энд,и,а,но,,
a,ей,некий,неопределенный артикль,,,
to,ту,к,в,на,до,для
was,уоз,был,была,было,,
i,ай,я,,,,
is,из,является,3-е л.ед.ч.наст.врем.гл.to be,,,
of,ов,от,из,о,об,
that,зэт,тот,та,то,,
you,ю,ты,вы,,,
he,хи,он,,,,
it,ит,оно,он,она,это,
in,ин,в,,,,
his,хиз,его,,,,
had,хэд,имел,получал,,,
do,ду,делать,,,,
with,уиз,с,вместе с,,,
not,нот,нет,не,ни,,
her,хё,её,,,,
for,фо,для,в течение,на,,
on,он,на,,,,
at,эт,около,у,в,на,
but,бат,но,только,лишь,кроме,а
she,ши,она,,,,
him,хим,его,,,,
as,эз,как,,,,
are,а,являются,мн.ч.наст.врем.гл.to be,,,
said,сед,сказал,говорил,,,
they,зей,они,,,,
we,уи,мы,,,,
all,ол,все,вся,всё,,
this,зис,этот,эта,это,,
have,хэв,иметь,получать,быть должным,,
there,зеэ,там,туда,здесь,,
what,уот,что,,,,
out,aут,снаружи,снаружи,за,,
up,ап,вверх,вдоль по,,,
one,уан,1,один,,,
from,фром,из,от,с,,
me,ми,мне,меня,,,
go,гоу,идти,ехать,уходить,,
were,уё,были,,,,
would,ууд,бы,вспом.глагол,,,
like,лайк,нравиться,похожий,,,
when,уэн,когда,,,,
could,куд,мог,умел,,,
then,зен,затем,тогда,,,
be,би,быть,существовать,,,
them,зем,их,им,,,
did,дид,делал,выполнял,,,
been,бин,был,была,было,,
now,нaу,сейчас,теперь,,,
look,лук,смотреть,,,,
back,бэк,назад,,,,
my,май,мой,,,,
no,ноу,нет,,,,
your,ё,твой,,,,
which,уич,который,,,,
about,эбaут,о,об,относительно,,
time,тайм,время,,,,
down,дaун,вниз,,,,
into,инту,во,,,,
who,ху,кто,который,,,
can,кэн,мочь,,,,
know,ноу,знать,,,,
if,иф,если,,,,
just,джаст,просто,,,,
their,зеэ,их,,,,
get,гет,получить,приобретать,,,
over,оувэ,над,свыше,,,
more,мо,больше,,,,
some,сам,некоторые,,,,
man,мэн,мужчина,,,,
come,кам,приходить,,,,
an,эн,один,неопред.артикль,,,
so,соу,так,тоже,,,
other,азэ,другой,иной,,,
little,литл,маленький,,,,
see,си,видеть,,,,
here,хиэ,здесь,тут,,,
thing,син,вещь,,,,
hand,хэнд,рука,,,,
by,бай,около,у,,,
will,уил,будет,вспом.гл.будущ.вр.,модаль.глаг.,,
way,уэй,путь,дорога,,,
again,эген,снова,опять,,,
right,райт,право,,,,
only,оунли,только,,,,
am,эм,являюсь,1-е л.ед.ч.наст.вр.гл.to be,,,
how,хaу,как,,,,
think,синк,думать,полагать,,,
or,о,или,,,,
got,гот,получил,,,,
good,гуд,хороший,добро,,,
eye,ай,глаз,взгляд,,,
well,уэл,хорошо,,,,
thought,сот,мысль,,,,
day,дей,день,,,,
two,ту,2,два,,,
than,зэн,чем,нежели,,,
before,бифо,перед,раньше,,,
where,уээ,где,куда,,,
very,вери,очень,,,,
say,сей,сказать,,,,
